Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Projected Value,Actual Scored,Iteration,date,Overlap Limit,Num_Games
Russell Westbrook,Stephen Curry,Justin Hamilton,Tim Frazier,Dion Waiters,Jon Leuer,Kevin Love,Michael Kidd-Gilchrist,284.278,306.0,31,Oct282016,6,8
Nikola Vucevic,Elfrid Payton,Tim Frazier,Dion Waiters,J.J. Barea,Anthony Davis,Paul George,Justise Winslow,284.158,304.75,50,Oct282016,6,8
Nikola Vucevic,Elfrid Payton,Tim Frazier,Monta Ellis,Andre Roberson,Tyler Johnson,Anthony Davis,Paul George,284.198,303.0,45,Oct282016,6,8
Russell Westbrook,Jeff Teague,Justin Hamilton,Dion Waiters,J.R. Smith,Tyler Johnson,Anthony Davis,Marcus Morris,285.668,302.75,38,Oct282016,4,8
Nikola Vucevic,George Hill,Tim Frazier,Ish Smith,Sean Kilpatrick,Joe Harris,Anthony Davis,LeBron James,284.538,302.5,2,Oct282016,6,8
Stephen Curry,Lance Stephenson,Tim Frazier,Thaddeus Young,Bojan Bogdanovic,J.J. Barea,Anthony Davis,Draymond Green,289.158,301.25,29,Oct282016,3,8
Tyson Chandler,Monta Ellis,Thaddeus Young,Joe Johnson,J.J. Barea,Anthony Davis,Kevin Durant,Justise Winslow,284.668,300.75,40,Oct282016,5,8
Nikola Vucevic,George Hill,Tim Frazier,Kentavious Caldwell-Pope,Joe Harris,Anthony Davis,LeBron James,T.J. Warren,284.308,300.75,26,Oct282016,6,8
Deron Williams,Tim Frazier,Ish Smith,Joe Harris,Myles Turner,Kevin Durant,LeBron James,T.J. Warren,285.108,300.0,7,Oct282016,5,8
Russell Westbrook,Jonas Valanciunas,Justin Hamilton,Tim Frazier,Sean Kilpatrick,Tyler Johnson,LeBron James,Justise Winslow,284.348,299.0,21,Oct282016,6,8
Jonas Valanciunas,George Hill,Tim Frazier,Sean Kilpatrick,Joe Harris,Anthony Davis,LeBron James,Justise Winslow,284.168,297.25,48,Oct282016,6,8
Russell Westbrook,Justin Hamilton,Deron Williams,Ish Smith,Joe Harris,Kevin Durant,Tobias Harris,Michael Kidd-Gilchrist,284.228,296.75,43,Oct282016,6,8
Russell Westbrook,Justin Hamilton,Ish Smith,J.J. Barea,Myles Turner,Paul George,Michael Kidd-Gilchrist,Marcus Morris,284.548,293.5,50,Oct282016,5,8
Russell Westbrook,Jonas Valanciunas,Justin Hamilton,Ish Smith,J.R. Smith,Thaddeus Young,J.J. Barea,LeBron James,284.608,293.5,43,Oct282016,5,8
Russell Westbrook,Jeff Teague,Roy Hibbert,Monta Ellis,Ish Smith,Jared Dudley,Andre Roberson,Anthony Davis,284.268,292.75,34,Oct282016,6,8
Elfrid Payton,Sean Kilpatrick,Tyler Johnson,J.J. Barea,Anthony Davis,Kevin Love,LeBron James,Justise Winslow,286.078,292.0,20,Oct282016,4,8
Deron Williams,Tim Frazier,Monta Ellis,Ish Smith,Dion Waiters,Anthony Davis,Draymond Green,Aaron Gordon,284.298,291.5,28,Oct282016,6,8
Russell Westbrook,Tyson Chandler,Tim Frazier,Sean Kilpatrick,Joe Harris,Tyler Johnson,Draymond Green,LeBron James,285.318,291.5,1,Oct282016,5,8
Russell Westbrook,Tim Frazier,Luke Babbitt,Bojan Bogdanovic,J.J. Barea,Kevin Love,LeBron James,Marcus Morris,291.368,291.0,19,Oct282016,3,8
Russell Westbrook,Tyson Chandler,George Hill,Monta Ellis,Bojan Bogdanovic,J.J. Barea,Kevin Durant,Justise Winslow,284.928,290.75,21,Oct282016,5,8
Lance Stephenson,Tim Frazier,Monta Ellis,Ish Smith,Joe Harris,James Harden,Anthony Davis,Clint Capela,284.868,290.5,23,Oct282016,5,8
Tim Frazier,Ish Smith,Marco Belinelli,Joe Johnson,Tyler Johnson,Anthony Davis,Myles Turner,LeBron James,284.748,290.25,33,Oct282016,5,8
Russell Westbrook,Jeff Teague,Roy Hibbert,Tim Frazier,Eric Gordon,Thaddeus Young,Myles Turner,Marcus Morris,285.188,289.5,5,Oct282016,5,8
