Name,Team,Position,Dropped,Added,Total,Date
Ricky Rubio,MIN , PG,2690,176,2887,2016-11-02
Tony Snell,MIL ," SG,SF",127,2718,2847,2016-11-02
Amir Johnson,BOS ," PF,C",261,2560,2821,2016-11-02
Rondae Hollis-Jefferson,BKN ," SG,SF",2413,318,2737,2016-11-02
Terrence Jones,NO ," SF,PF",2575,124,2705,2016-11-02
Matt Barnes,SAC ," SG,SF",1288,1342,2638,2016-11-02
Allen Crabbe,POR ," PG,SG",2143,482,2631,2016-11-02
Joe Johnson,UTA ," SG,SF",1759,847,2612,2016-11-02
Jonathon Simmons,SA ," SG,SF",2418,170,2597,2016-11-02
Patty Mills,SA , PG,1375,1221,2596,2016-11-02
Mike Muscala,ATL ," PF,C",1406,1068,2477,2016-11-02
Dion Waiters,MIA ," SG,SF",222,2041,2268,2016-11-02
Joakim Noah,NY ," PF,C",1406,812,2226,2016-11-02
Taj Gibson,CHI ," PF,C",135,2065,2214,2016-11-02
Tyson Chandler,PHO , C,561,1614,2180,2016-11-02
Robert Covington,PHI ," SF,PF",1952,197,2156,2016-11-02
Kentavious Caldwell-Pope,DET , SG,172,1894,2076,2016-11-02
Tim Frazier,NO ," PG,SG",288,1749,2047,2016-11-02
Michael Kidd-Gilchrist,CHA , SF,1260,747,2023,2016-11-02
Justin Hamilton,BKN ," PF,C",1721,252,1974,2016-11-02
Dewayne Dedmon,SA , C,1673,283,1960,2016-11-02
Ersan Ilyasova,PHI ," SF,PF",391,1508,1903,2016-11-02
T.J. Warren,PHO , SF,182,1703,1900,2016-11-02
Roy Hibbert,CHA , C,1606,269,1882,2016-11-02
James Ennis III,MEM ," SG,SF",1253,626,1880,2016-11-02
Marcus Smart,BOS , PG,573,1275,1851,2016-11-02
Buddy Hield,NO , SG,1330,503,1838,2016-11-02
Lance Stephenson,NO ," SG,SF",1194,570,1768,2016-11-02
Lou Williams,LAL ," PG,SG",454,1286,1744,2016-11-02
JaMychal Green,MEM , PF,1315,385,1709,2016-11-02
Bismack Biyombo,ORL ," PF,C",1381,311,1708,2016-11-02
Jake Layman,POR , PF,119,1551,1670,2016-11-02
Sean Kilpatrick,BKN ," PG,SG",212,17870,18083,2016-11-03
Jaylen Brown,BOS , SF,329,7160,7490,2016-11-03
Amir Johnson,BOS ," PF,C",1104,6145,7250,2016-11-03
Tyson Chandler,PHO , C,253,5538,5794,2016-11-03
Tyler Johnson,MIA ," PG,SG",285,4341,4628,2016-11-03
Will Barton,DEN ," SG,SF",4230,363,4611,2016-11-03
Alex Len,PHO ," PF,C",256,3948,4206,2016-11-03
James Ennis III,MEM ," SG,SF",333,3866,4205,2016-11-03
Matt Barnes,SAC ," SG,SF",3397,622,4027,2016-11-03
Trevor Booker,BKN , PF,2758,877,3643,2016-11-03
