Player,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,DKPts,FDPts,Line,O/U
Brandon Bass,PF,10/30/2015,LAL,@,SAC,L,0,20,2,4,0.5,2,4,0.5,0,0,,4,4,1,1,2,3,1,0,0,1,4,8,5.4,12.75,12.1,7,211.5
Tiago Splitter,C,10/30/2015,ATL,,CHO,W,0,16,2,7,0.286,2,7,0.286,0,0,,3,3,1,1,2,3,0,1,0,1,1,7,3.8,12.25,11.6,-4,194
Anderson Varejao,C,10/30/2015,CLE,,MIA,W,0,16,1,2,0.5,1,2,0.5,0,0,,0,0,,2,6,8,0,0,0,0,1,2,3.8,12,11.6,-4.5,200.5
Tyler Zeller,C,10/30/2015,BOS,,TOR,L,1,16,4,8,0.5,4,8,0.5,0,0,,2,2,1,0,0,0,1,0,0,0,3,10,5.5,11.5,11.5,-2,200
Mo Williams,PG,10/30/2015,CLE,,MIA,W,1,26,2,10,0.2,2,6,0.333,0,4,0,2,2,1,0,0,0,3,1,0,1,3,6,0.7,12,11.5,-4.5,200.5
Boban Marjanovic,C,10/30/2015,SAS,,BRK,W,0,5,2,5,0.4,2,5,0.4,0,0,,2,2,1,3,2,5,1,0,0,2,0,6,4.7,12.75,11.5,-14,202
T.J. McConnell,PG,10/30/2015,PHI,,UTA,L,0,26,1,4,0.25,1,4,0.25,0,0,,0,0,,1,1,2,4,2,0,3,1,2,2,13,11.4,7.5,186.5
Marco Belinelli,SG,10/30/2015,SAC,,LAL,W,0,22,2,7,0.286,1,2,0.5,1,5,0.2,1,2,0.5,0,2,2,2,1,0,2,2,6,1.7,13,11.4,-7,211.5
Steve Blake,PG,10/30/2015,DET,,CHI,W,0,16,0,7,0,0,3,0,0,4,0,0,0,,1,2,3,5,0,0,0,0,0,-0.1,11.25,11.1,2.5,203
Ben McLemore,SG,10/30/2015,SAC,,LAL,W,1,25,2,8,0.25,1,5,0.2,1,3,0.333,2,2,1,1,2,3,1,0,0,1,4,7,1.6,12.25,11.1,-7,211.5
Patrick Beverley,PG,10/30/2015,HOU,,GSW,L,0,21,2,6,0.333,2,5,0.4,0,1,0,0,0,,1,3,4,2,0,0,1,5,4,0.6,11.5,10.8,1,216.5
Evan Turner,SG,10/30/2015,BOS,,TOR,L,0,28,2,11,0.182,2,10,0.2,0,1,0,2,4,0.5,1,3,4,1,1,0,4,2,6,-3.2,12.5,10.3,-2,200
Frank Kaminsky,C,10/30/2015,CHO,@,ATL,L,0,14,2,5,0.4,1,3,0.333,1,2,0.5,0,0,,0,3,3,1,0,0,0,1,5,3.5,10.75,10.1,4,194
Allen Crabbe,SG,10/30/2015,POR,@,PHO,L,0,23,0,3,0,0,2,0,0,1,0,0,0,,0,3,3,1,3,0,1,3,0,0.3,10.75,10.1,4.5,204.5
Tony Snell,SG,10/30/2015,CHI,@,DET,L,1,30,2,5,0.4,2,3,0.667,0,2,0,0,0,,1,1,2,1,1,0,0,4,4,2.4,10,9.9,-2.5,203
Chris Copeland,PF,10/30/2015,MIL,,WAS,L,0,9,2,4,0.5,0,0,,2,4,0.5,0,0,,0,2,2,1,0,0,0,5,6,3.3,11,9.9,2,200
Thomas Robinson,PF,10/30/2015,BRK,@,SAS,L,0,15,1,2,0.5,1,2,0.5,0,0,,0,0,,0,4,4,0,0,2,1,1,2,2.2,10.5,9.8,14,202
Cody Zeller,PF,10/30/2015,CHO,@,ATL,L,0,17,2,5,0.4,2,4,0.5,0,1,0,1,1,1,1,1,2,0,1,0,0,3,5,3.1,9.5,9.4,4,194
JaKarr Sampson,SF,10/30/2015,PHI,,UTA,L,1,20,1,3,0.333,1,3,0.333,0,0,,1,2,0.5,0,4,4,1,1,0,2,6,3,-0.6,10.5,9.3,7.5,186.5
Patrick Patterson,PF,10/30/2015,TOR,@,BOS,W,0,25,2,6,0.333,0,1,0,2,5,0.4,2,2,1,0,0,0,0,1,0,1,3,8,3.4,10.5,9,2,200
Ed Davis,PF,10/30/2015,POR,@,PHO,L,0,20,2,3,0.667,2,3,0.667,0,0,,1,3,0.333,1,1,2,1,0,1,2,2,5,2.5,10,8.9,4.5,204.5
Bojan Bogdanovic,SF,10/30/2015,BRK,@,SAS,L,0,20,3,6,0.5,3,4,0.75,0,2,0,0,2,0,0,4,4,0,0,0,2,1,6,1,10,8.8,14,202
Joakim Noah,C,10/30/2015,CHI,@,DET,L,0,17,1,1,1,1,1,1,0,0,,0,2,0,0,3,3,2,0,1,2,0,2,1.9,9.75,8.6,-2.5,203
Justise Winslow,SF,10/30/2015,MIA,@,CLE,L,0,19,1,4,0.25,1,2,0.5,0,2,0,0,0,,0,4,4,1,0,0,0,2,2,0.7,8.5,8.3,4.5,200.5
Wayne Ellington,SG,10/30/2015,BRK,@,SAS,L,1,18,1,6,0.167,0,2,0,1,4,0.25,0,0,,0,1,1,0,2,0,0,2,3,0.7,8.75,8.2,14,202
Doug McDermott,SF,10/30/2015,CHI,@,DET,L,0,15,2,4,0.5,0,2,0,2,2,1,0,0,,0,1,1,2,0,0,2,3,6,2.5,10.25,8.2,-2.5,203
Mike Scott,PF,10/30/2015,ATL,,CHO,W,0,13,0,3,0,0,3,0,0,0,,0,0,,1,2,3,3,0,0,0,2,0,0.5,8.25,8.1,-4,194
Greivis Vasquez,PG,10/30/2015,MIL,,WAS,L,0,17,0,3,0,0,2,0,0,1,0,0,0,,0,2,2,5,0,0,2,4,0,-1.6,9,7.9,2,200
Gary Harris,SG,10/30/2015,DEN,,MIN,L,1,18,2,8,0.25,2,6,0.333,0,2,0,0,0,,1,0,1,1,1,0,1,3,4,-0.6,8.25,7.7,-3.5,204
Jason Thompson,PF,10/30/2015,GSW,@,HOU,W,0,6,2,3,0.667,2,3,0.667,0,0,,0,0,,1,2,3,0,0,0,0,1,4,3.6,7.75,7.6,-1,216.5
Kris Humphries,PF,10/30/2015,WAS,@,MIL,W,1,14,1,4,0.25,0,2,0,1,2,0.5,2,2,1,2,1,3,0,0,0,1,0,5,3.3,8.75,7.6,-2,200
Drew Gooden,PF,10/30/2015,WAS,@,MIL,W,0,8,0,0,,0,0,,0,0,,2,2,1,0,1,1,0,1,1,0,0,2,4,7.25,7.2,-2,200
Anthony Morrow,SG,10/30/2015,OKC,@,ORL,W,0,14,1,3,0.333,0,0,,1,3,0.333,0,0,,0,1,1,0,2,0,1,0,3,2.6,8.25,7.2,-7.5,205.5
Chris Johnson,C,10/30/2015,UTA,@,PHI,W,0,4,1,2,0.5,1,2,0.5,0,0,,0,0,,1,2,3,1,0,0,0,0,2,3,7.25,7.1,-7.5,186.5
Jared Cunningham,PG,10/30/2015,CLE,,MIA,W,0,9,2,4,0.5,2,3,0.667,0,1,0,0,0,,0,0,0,2,0,0,0,1,4,3,7,7,-4.5,200.5
Ersan Ilyasova,PF,10/30/2015,DET,,CHI,W,1,22,1,5,0.2,1,2,0.5,0,3,0,0,0,,3,2,5,0,0,0,1,3,2,-0.6,7.75,7,2.5,203
Joe Johnson,SF,10/30/2015,BRK,@,SAS,L,1,25,1,7,0.143,1,6,0.167,0,1,0,0,0,,0,2,2,1,1,0,1,5,2,-3.2,7.5,6.9,14,202
Kyle Anderson,SF,10/30/2015,SAS,,BRK,W,0,11,0,1,0,0,1,0,0,0,,0,0,,0,2,2,0,1,1,0,3,0,0.4,6.5,6.4,-14,202
Andrea Bargnani,C,10/30/2015,BRK,@,SAS,L,0,16,2,4,0.5,1,3,0.333,1,1,1,0,0,,0,1,1,0,0,0,0,0,5,3.3,6.75,6.2,14,202
P.J. Hairston,SF,10/30/2015,CHO,@,ATL,L,1,17,1,5,0.2,0,1,0,1,4,0.25,0,0,,0,1,1,0,0,1,0,1,3,0.5,6.75,6.2,4,194
Amar'e Stoudemire,PF,10/30/2015,MIA,@,CLE,L,0,12,1,2,0.5,1,2,0.5,0,0,,0,0,,2,1,3,0,0,0,0,2,2,1.9,5.75,5.6,4.5,200.5
Trevor Booker,PF,10/30/2015,UTA,@,PHI,W,0,18,1,5,0.2,1,5,0.2,0,0,,0,0,,0,3,3,0,0,0,0,2,2,-1,5.75,5.6,-7.5,186.5
Miles Plumlee,C,10/30/2015,MIL,,WAS,L,0,13,2,3,0.667,2,3,0.667,0,0,,0,0,,0,2,2,0,0,0,1,2,4,1.5,6,5.4,2,200
Shaun Livingston,PG,10/30/2015,GSW,@,HOU,W,0,20,0,3,0,0,3,0,0,0,,4,5,0.8,0,1,1,0,0,0,0,0,4,1.8,5.25,5.2,-1,216.5
K.J. McDaniels,SF,10/30/2015,HOU,,GSW,L,0,5,1,4,0.25,1,2,0.5,0,2,0,0,0,,0,1,1,0,0,1,0,1,2,0.2,5.25,5.2,1,216.5
Gerald Green,SG,10/30/2015,MIA,@,CLE,L,0,16,1,9,0.111,0,5,0,1,4,0.25,2,2,1,0,1,1,0,0,0,1,1,5,-2,6.25,5.2,4.5,200.5
Kyle Singler,SF,10/30/2015,OKC,@,ORL,W,0,13,1,3,0.333,1,2,0.5,0,1,0,1,2,0.5,0,1,1,0,1,0,1,1,3,0.8,5.75,5.2,-7.5,205.5
Eric Moreland,PF,10/30/2015,SAC,,LAL,W,0,4,1,1,1,1,1,1,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.7,5.25,5.2,-7,211.5
Joe Ingles,SG,10/30/2015,UTA,@,PHI,W,0,14,1,2,0.5,1,1,1,0,1,0,0,0,,0,1,1,0,1,0,0,2,2,1.5,5.25,5.2,-7.5,186.5
Ian Clark,SG,10/30/2015,GSW,@,HOU,W,0,5,1,3,0.333,1,2,0.5,0,1,0,0,0,,0,0,0,2,0,0,0,1,2,1.3,5,5,-1,216.5
Anthony Brown,SF,10/30/2015,LAL,@,SAC,L,0,4,1,2,0.5,0,0,,1,2,0.5,2,2,1,0,0,0,0,0,0,0,0,5,4,5.5,5,7,211.5
Pat Connaughton,SG,10/30/2015,POR,@,PHO,L,0,3,1,2,0.5,0,1,0,1,1,1,2,2,1,0,0,0,0,0,0,0,0,5,4,5.5,5,4.5,204.5
Ray McCallum,PG,10/30/2015,SAS,,BRK,W,0,6,1,1,1,1,1,1,0,0,,0,0,,0,0,0,0,2,0,1,1,2,2.3,5.5,5,-14,202
Josh McRoberts,PF,10/30/2015,MIA,@,CLE,L,0,13,1,2,0.5,1,1,1,0,1,0,0,0,,1,1,2,1,0,0,1,2,2,0.9,5.5,4.9,4.5,200.5
James Michael McAdoo,PF,10/30/2015,GSW,@,HOU,W,0,7,1,2,0.5,1,2,0.5,0,0,,1,2,0.5,0,1,1,1,0,0,1,3,3,0.4,5.25,4.7,-1,216.5
Seth Curry,PG,10/30/2015,SAC,,LAL,W,0,4,1,2,0.5,1,2,0.5,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2,4.75,4.7,-7,211.5
Meyers Leonard,C,10/30/2015,POR,@,PHO,L,1,18,0,5,0,0,3,0,0,2,0,0,0,,0,3,3,2,0,0,2,5,0,-5.2,5.75,4.6,4.5,204.5
J.R. Smith,SG,10/30/2015,CLE,,MIA,W,1,22,1,8,0.125,1,5,0.2,0,3,0,0,0,,0,2,2,0,0,1,2,4,2,-5.5,5.5,4.4,-4.5,200.5
Brandon Rush,SG,10/30/2015,GSW,@,HOU,W,0,6,1,4,0.25,1,3,0.333,0,1,0,0,0,,1,1,2,0,0,0,0,0,2,0.6,4.5,4.4,-1,216.5
Gorgui Dieng,C,10/30/2015,MIN,@,DEN,W,0,13,1,3,0.333,1,3,0.333,0,0,,0,0,,0,1,1,0,0,1,1,1,2,-0.1,4.75,4.2,3.5,204
Rasual Butler,SG,10/30/2015,SAS,,BRK,W,0,11,1,4,0.25,0,1,0,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,3,0.9,4.75,4.2,-14,202
Richard Jefferson,SF,10/30/2015,CLE,,MIA,W,0,24,2,7,0.286,1,4,0.25,1,3,0.333,0,0,,0,0,0,0,1,0,3,1,5,-1.5,6,4,-4.5,200.5
David West,PF,10/30/2015,SAS,,BRK,W,0,14,1,4,0.25,1,4,0.25,0,0,,0,0,,0,3,3,0,0,0,2,2,2,-2.3,4.75,3.6,-14,202
Anthony Bennett,SF,10/30/2015,TOR,@,BOS,W,0,3,0,0,,0,0,,0,0,,0,0,,0,3,3,0,1,0,2,3,0,-1.3,4.75,3.6,2,200
Markel Brown,SG,10/30/2015,BRK,@,SAS,L,0,8,0,4,0,0,1,0,0,3,0,0,0,,0,0,0,1,1,0,0,2,0,-1.9,3.5,3.5,14,202
Tim Frazier,PG,10/30/2015,POR,@,PHO,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,1,0,1.3,3.5,3.5,4.5,204.5
Jonas Jerebko,PF,10/30/2015,BOS,,TOR,L,0,8,0,1,0,0,0,,0,1,0,2,2,1,1,1,2,0,0,0,1,0,2,1.3,4,3.4,-2,200
E'Twaun Moore,SG,10/30/2015,CHI,@,DET,L,0,18,0,1,0,0,0,,0,1,0,0,0,,0,2,2,0,0,1,1,0,0,-0.4,4,3.4,-2.5,203
Robert Sacre,C,10/30/2015,LAL,@,SAC,L,0,4,1,3,0.333,1,3,0.333,0,0,,0,0,,1,1,2,0,0,0,1,0,2,0.3,4,3.4,7,211.5
Sam Dekker,SF,10/30/2015,HOU,,GSW,L,0,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,1.3,3.25,3.2,1,216.5
Archie Goodwin,SG,10/30/2015,PHO,,POR,W,0,2,0,0,,0,0,,0,0,,1,2,0.5,0,1,1,0,0,1,1,0,1,0.6,3.75,3.2,-4.5,204.5
Elijah Millsap,SG,10/30/2015,UTA,@,PHI,W,0,5,1,3,0.333,1,3,0.333,0,0,,0,0,,1,0,1,0,0,0,0,2,2,0.2,3.25,3.2,-7.5,186.5
Tibor Pleiss,C,10/30/2015,UTA,@,PHI,W,0,2,1,1,1,1,1,1,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,3.25,3.2,-7.5,186.5
Joe Harris,SG,10/30/2015,CLE,,MIA,W,0,1,1,1,1,0,0,,1,1,1,0,0,,0,0,0,0,0,0,0,0,3,2.7,3.5,3,-4.5,200.5
Mario Hezonja,SG,10/30/2015,ORL,,OKC,L,0,14,1,3,0.333,0,0,,1,3,0.333,0,0,,0,0,0,0,1,0,2,2,3,-0.5,4.5,3,7.5,205.5
Christian Wood,PF,10/30/2015,PHI,,UTA,L,0,5,0,1,0,0,0,,0,1,0,3,4,0.75,0,0,0,0,0,0,0,0,3,1.9,3,3,7.5,186.5
Richaun Holmes,PF,10/30/2015,PHI,,UTA,L,0,6,0,0,,0,0,,0,0,,1,2,0.5,0,0,0,0,0,1,0,0,1,1.3,3,3,7.5,186.5
James Johnson,SF,10/30/2015,TOR,@,BOS,W,0,8,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,2.75,2.7,2,200
Sonny Weems,SG,10/30/2015,PHO,,POR,W,0,17,1,2,0.5,1,1,1,0,1,0,1,1,1,0,3,3,0,0,0,4,0,3,-1.1,4.75,2.6,-4.5,204.5
Reggie Bullock,SF,10/30/2015,DET,,CHI,W,0,15,0,1,0,0,0,,0,1,0,0,0,,1,1,2,0,0,0,0,1,0,-0.1,2.5,2.4,2.5,203
Shabazz Muhammad,SF,10/30/2015,MIN,@,DEN,W,0,16,1,5,0.2,1,3,0.333,0,2,0,0,0,,0,1,1,0,0,0,1,3,2,-3,2.75,2.2,3.5,204
Mirza Teletovic,SF,10/30/2015,PHO,,POR,W,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1,2,2,-4.5,204.5
Julius Randle,PF,10/30/2015,LAL,@,SAC,L,1,16,1,4,0.25,1,4,0.25,0,0,,1,4,0.25,0,2,2,1,0,0,5,5,3,-6.3,4.5,1.9,7,211.5
James Ennis,SG,10/30/2015,MIA,@,CLE,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,1.5,1.5,4.5,200.5
Mike Miller,SG,10/30/2015,DEN,,MIN,L,0,9,0,1,0,0,0,,0,1,0,0,0,,0,2,2,0,0,0,1,0,0,-1.1,2,1.4,-3.5,204
Trey Lyles,PF,10/30/2015,UTA,@,PHI,W,0,8,0,3,0,0,3,0,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-3.3,2,1.4,-7.5,186.5
James Jones,SG,10/30/2015,CLE,,MIA,W,0,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,1.25,1.2,-4.5,200.5
Tarik Black,C,10/30/2015,LAL,@,SAC,L,0,7,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-1.6,1.25,1.2,7,211.5
Damien Inglis,SF,10/30/2015,MIL,,WAS,L,0,3,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,1.25,1.2,2,200
Donald Sloan,PG,10/30/2015,BRK,@,SAS,L,0,5,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-0.7,1.5,1,14,202
Sergey Karasev,SF,10/30/2015,BRK,@,SAS,L,0,2,0,0,,0,0,,0,0,,2,2,1,0,0,0,0,0,0,1,0,2,1,1.5,1,14,202
James Anderson,SG,10/30/2015,SAC,,LAL,W,0,5,1,2,0.5,0,0,,1,2,0.5,0,0,,0,0,0,0,0,0,2,0,3,0,2.5,1,-7,211.5
Andre Roberson,SG,10/30/2015,OKC,@,ORL,W,1,19,0,1,0,0,0,,0,1,0,0,0,,0,2,2,0,0,0,2,0,0,-2.1,1.5,0.4,-7.5,205.5
Luis Montero,SF,10/30/2015,POR,@,PHO,L,0,2,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,0.75,0.2,4.5,204.5
Sasha Kaun,C,10/30/2015,CLE,,MIA,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,0,-4.5,200.5
Erick Green,PG,10/30/2015,DEN,,MIN,L,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,204
Tyler Johnson,SG,10/30/2015,MIA,@,CLE,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4.5,200.5
Shabazz Napier,PG,10/30/2015,ORL,,OKC,L,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,7.5,205.5
Garrett Temple,SG,10/30/2015,WAS,@,MIL,W,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,0,-2,200
Kelly Oubre,SF,10/30/2015,WAS,@,MIL,W,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-2,200
Randy Foye,PG,10/30/2015,DEN,,MIN,L,0,8,0,2,0,0,0,,0,2,0,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-0.5,-1,-3.5,204
Devin Booker,SG,10/30/2015,PHO,,POR,W,0,2,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-0.5,-1,-4.5,204.5
Carmelo Anthony,SF,10/29/2015,NYK,,ATL,L,1,32,10,27,0.37,10,20,0.5,0,7,0,5,5,1,3,4,7,3,3,0,1,4,25,15.9,43.75,42.9,4.5,199
Blake Griffin,PF,10/29/2015,LAC,,DAL,W,1,27,11,17,0.647,11,17,0.647,0,0,,4,6,0.667,2,8,10,2,1,1,3,1,26,21.2,44,42,-12,212.5
Al Horford,C,10/29/2015,ATL,@,NYK,W,1,31,9,18,0.5,7,13,0.538,2,5,0.4,1,2,0.5,2,7,9,1,2,3,3,0,21,16.9,43.25,40.3,-4.5,199
Jeff Teague,PG,10/29/2015,ATL,@,NYK,W,1,30,7,12,0.583,7,10,0.7,0,2,0,9,10,0.9,0,4,4,8,1,0,3,1,23,21.4,40.5,38.8,-4.5,199
Paul Millsap,PF,10/29/2015,ATL,@,NYK,W,1,35,3,11,0.273,2,9,0.222,1,2,0.5,4,8,0.5,3,8,11,5,5,0,3,2,11,12.1,41.25,38.7,-4.5,199
Marc Gasol,C,10/29/2015,MEM,@,IND,W,1,33,7,13,0.538,7,13,0.538,0,0,,6,7,0.857,1,7,8,3,0,1,0,1,20,18.5,36.5,36.1,-3,191.5
Paul George,SF,10/29/2015,IND,,MEM,L,1,35,5,15,0.333,3,7,0.429,2,8,0.25,6,6,1,3,5,8,5,1,1,4,3,18,13.1,38.5,35.1,3,191.5
DeAndre Jordan,C,10/29/2015,LAC,,DAL,W,1,26,2,2,1,2,2,1,0,0,,2,8,0.25,2,13,15,2,0,4,1,1,6,11.1,35.25,34,-12,212.5
Mike Conley,PG,10/29/2015,MEM,@,IND,W,1,30,5,11,0.455,4,10,0.4,1,1,1,2,2,1,2,2,4,10,2,0,4,4,13,12.7,35.5,32.8,-3,191.5
Dirk Nowitzki,PF,10/29/2015,DAL,@,LAC,L,1,25,6,15,0.4,5,12,0.417,1,3,0.333,3,3,1,1,6,7,2,1,0,0,1,16,12.4,30.25,29.4,12,212.5
Kyle O'Quinn,PF,10/29/2015,NYK,,ATL,L,0,22,5,9,0.556,5,9,0.556,0,0,,0,0,,6,4,10,3,1,1,3,1,10,11.5,29.5,27.5,4.5,199
Kyle Korver,SG,10/29/2015,ATL,@,NYK,W,1,32,6,8,0.75,3,3,1,3,5,0.6,0,0,,0,7,7,2,1,0,1,2,15,14.5,29.75,27.4,-4.5,199
John Jenkins,SG,10/29/2015,DAL,@,LAC,L,1,35,8,16,0.5,8,12,0.667,0,4,0,1,1,1,1,5,6,3,0,0,2,1,17,10.9,28,26.7,12,212.5
George Hill,PG,10/29/2015,IND,,MEM,L,1,39,6,15,0.4,3,7,0.429,3,8,0.375,5,6,0.833,0,3,3,4,1,0,5,2,20,10.4,30.75,26.6,3,191.5
Beno Udrih,PG,10/29/2015,MEM,@,IND,W,0,18,5,6,0.833,4,4,1,1,2,0.5,2,2,1,0,2,2,6,1,0,1,1,13,15.2,26.5,25.4,-3,191.5
J.J. Barea,PG,10/29/2015,DAL,@,LAC,L,0,21,4,10,0.4,2,7,0.286,2,3,0.667,2,2,1,1,0,1,9,0,0,2,5,12,9.6,26.75,24.7,12,212.5
Tony Allen,SF,10/29/2015,MEM,@,IND,W,1,22,4,11,0.364,4,10,0.4,0,1,0,1,2,0.5,4,3,7,0,4,0,1,5,9,7.2,25.25,24.4,-3,191.5
Ian Mahinmi,C,10/29/2015,IND,,MEM,L,1,30,5,7,0.714,5,7,0.714,0,0,,1,2,0.5,2,7,9,0,0,1,0,3,11,10.7,24.25,23.8,3,191.5
Kristaps Porzingis,PF,10/29/2015,NYK,,ATL,L,1,26,4,10,0.4,4,6,0.667,0,4,0,2,2,1,2,6,8,0,3,1,4,5,10,5.5,26,23.6,4.5,199
Rodney Stuckey,SG,10/29/2015,IND,,MEM,L,0,26,4,6,0.667,4,5,0.8,0,1,0,1,2,0.5,0,4,4,5,1,1,3,0,9,9.4,24,22.3,3,191.5
Devin Harris,PG,10/29/2015,DAL,@,LAC,L,0,23,4,10,0.4,2,4,0.5,2,6,0.333,2,3,0.667,1,5,6,2,0,0,0,3,12,8.6,23.5,22.2,12,212.5
C.J. Miles,SG,10/29/2015,IND,,MEM,L,0,21,6,8,0.75,2,2,1,4,6,0.667,2,3,0.667,0,1,1,2,1,0,2,3,18,13.9,25.25,22.2,3,191.5
Chris Paul,PG,10/29/2015,LAC,,DAL,W,1,24,3,8,0.375,2,4,0.5,1,4,0.25,2,2,1,0,3,3,5,1,0,0,1,9,9.6,22.75,22.1,-12,212.5
Zach Randolph,PF,10/29/2015,MEM,@,IND,W,1,30,3,11,0.273,3,11,0.273,0,0,,5,6,0.833,2,6,8,2,0,0,2,3,11,5.5,23,21.6,-3,191.5
Robin Lopez,C,10/29/2015,NYK,,ATL,L,1,21,8,11,0.727,8,11,0.727,0,0,,2,2,1,2,2,4,1,0,1,5,0,18,11.9,24,21.3,4.5,199
Jeff Green,SF,10/29/2015,MEM,@,IND,W,0,29,5,6,0.833,3,4,0.75,2,2,1,0,0,,0,3,3,3,1,1,3,5,12,9.5,23.75,21.1,-3,191.5
Matt Barnes,SF,10/29/2015,MEM,@,IND,W,0,21,3,7,0.429,0,1,0,3,6,0.5,1,2,0.5,0,3,3,1,3,0,0,2,10,9.7,22.75,21.1,-3,191.5
Jerian Grant,PG,10/29/2015,NYK,,ATL,L,0,29,2,4,0.5,2,4,0.5,0,0,,1,2,0.5,1,6,7,7,0,0,3,3,5,5.8,22.75,20.9,4.5,199
Jamal Crawford,SG,10/29/2015,LAC,,DAL,W,0,17,6,11,0.545,4,7,0.571,2,4,0.5,1,1,1,0,2,2,2,0,0,0,0,15,11.7,21.5,20.4,-12,212.5
Austin Rivers,SG,10/29/2015,LAC,,DAL,W,0,24,5,10,0.5,3,6,0.5,2,4,0.5,2,4,0.5,0,2,2,1,1,0,0,1,14,10.1,21,19.9,-12,212.5
Langston Galloway,SG,10/29/2015,NYK,,ATL,L,0,25,2,4,0.5,0,0,,2,4,0.5,2,2,1,0,4,4,3,1,0,0,2,8,9.5,20.5,19.3,4.5,199
J.J. Redick,SG,10/29/2015,LAC,,DAL,W,1,24,4,9,0.444,2,5,0.4,2,4,0.5,2,2,1,0,1,1,2,1,0,0,1,12,9.6,19.25,18.2,-12,212.5
Paul Pierce,SF,10/29/2015,LAC,,DAL,W,0,20,1,6,0.167,1,3,0.333,0,3,0,4,4,1,0,4,4,2,2,0,0,2,6,6,18,17.8,-12,212.5
Dwight Powell,PF,10/29/2015,DAL,@,LAC,L,0,19,4,8,0.5,4,8,0.5,0,0,,1,2,0.5,2,6,8,0,0,0,1,3,9,5.6,18.5,17.6,12,212.5
Myles Turner,C,10/29/2015,IND,,MEM,L,0,18,4,6,0.667,4,6,0.667,0,0,,0,2,0,1,3,4,0,2,1,2,4,8,5.3,18,16.8,3,191.5
Kent Bazemore,SG,10/29/2015,ATL,@,NYK,W,1,25,2,6,0.333,1,4,0.25,1,2,0.5,0,0,,0,1,1,5,2,0,1,2,5,5.6,17.75,16.7,-4.5,199
Josh Smith,PF,10/29/2015,LAC,,DAL,W,0,14,1,5,0.2,1,4,0.25,0,1,0,3,6,0.5,3,3,6,1,0,2,1,4,5,3.2,17.5,16.7,-12,212.5
Wesley Johnson,SF,10/29/2015,LAC,,DAL,W,0,22,3,7,0.429,3,3,1,0,4,0,0,0,,1,6,7,0,0,1,0,2,6,4.7,16.75,16.4,-12,212.5
Dennis Schroder,PG,10/29/2015,ATL,@,NYK,W,0,18,6,11,0.545,5,8,0.625,1,3,0.333,0,0,,0,1,1,2,0,0,1,0,13,8.4,17.25,16.2,-4.5,199
Justin Anderson,SF,10/29/2015,DAL,@,LAC,L,0,18,2,8,0.25,1,3,0.333,1,5,0.2,0,0,,0,6,6,1,1,1,2,0,5,2.4,17.5,15.7,12,212.5
Tiago Splitter,C,10/29/2015,ATL,@,NYK,W,0,23,4,6,0.667,4,6,0.667,0,0,,2,2,1,0,2,2,2,0,1,2,4,10,6.5,16.5,15.4,-4.5,199
Courtney Lee,SG,10/29/2015,MEM,@,IND,W,1,29,4,9,0.444,4,5,0.8,0,4,0,2,2,1,1,1,2,1,1,0,1,1,10,6.6,15.5,14.9,-3,191.5
Brandan Wright,PF,10/29/2015,MEM,@,IND,W,0,15,4,4,1,4,4,1,0,0,,1,2,0.5,0,1,1,0,0,2,0,1,9,8.7,14.25,14.2,-3,191.5
