Date,Player,Pos,Salary,Predicted,Scored,Team,Iteration
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,34
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,34
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,34
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,34
Dec102016,Tim Frazier,PG,5700,23.78,38.25,NO,34
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,34
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,35
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,35
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,35
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,35
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,35
Dec102016,Austin Rivers,PG,3200,15.5,30.0,LAC,35
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,35
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,35
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,39
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,39
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,39
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,39
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,39
Dec102016,Patrick Beverley,PG,4800,25.82,30.25,HOU,39
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,39
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,39
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,38
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,38
Dec102016,Mirza Teletovic,PF,3000,7.07,33.25,MIL,38
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,38
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,38
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,38
Dec102016,Damian Lillard,PG,8400,47.47,51.75,POR,38
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,38
Dec102016,Nikola Jokic,C,5200,32.32,36.0,DEN,37
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,37
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,37
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,37
Dec102016,Iman Shumpert,PG/SG,3500,16.44,28.75,CLE,37
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,37
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,37
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,37
Dec102016,Ed Davis,C,3500,15.11,26.5,POR,36
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,36
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,36
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,36
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,36
Dec102016,Tim Frazier,PG,5700,23.78,38.25,NO,36
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,36
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,36
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,40
Dec102016,Cody Zeller,C,4100,21.43,32.75,CHA,40
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,40
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,40
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,40
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,40
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,40
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,40
Dec102016,Ed Davis,C,3500,15.11,26.5,POR,41
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,41
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,41
Dec102016,Jimmy Butler,SG/SF,8200,45.55,52.25,CHI,41
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,41
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,41
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,41
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,41
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,42
Dec102016,Nikola Jokic,C,5200,32.32,36.0,DEN,42
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,42
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,42
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,42
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,42
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,42
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,42
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,43
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,43
Dec102016,Mirza Teletovic,PF,3000,7.07,33.25,MIL,43
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,43
Dec102016,Wesley Matthews,SG,5300,30.89,37.25,DAL,43
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,43
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,43
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,43
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,44
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,44
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,44
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,44
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,44
Dec102016,Austin Rivers,PG,3200,15.5,30.0,LAC,44
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,44
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,44
Dec102016,Al Jefferson,C,3300,14.64,23.5,IND,45
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,45
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,45
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,45
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,45
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,45
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,45
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,45
Dec102016,Hassan Whiteside,C,8600,50.27,40.5,MIA,46
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,46
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,46
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,46
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,46
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,46
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,46
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,46
Dec102016,Marreese Speights,PF/C,3700,15.62,40.5,LAC,47
Dec102016,Marc Gasol,C,7900,42.41,44.0,MEM,47
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,47
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,47
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,47
Dec102016,Evan Fournier,SG,5300,28.73,41.0,ORL,47
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,47
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,47
Dec102016,Rudy Gobert,C,7000,40.41,47.0,UTA,53
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,53
Dec102016,Cheick Diallo,PF,3000,0.0,38.0,NO,53
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,53
Dec102016,Iman Shumpert,PG/SG,3500,16.44,28.75,CLE,53
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,53
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,53
Dec102016,Paul George,SF/PF,8000,39.16,55.25,IND,53
Dec102016,Myles Turner,C,5800,31.15,34.0,IND,52
Dec102016,C.J. McCollum,PG/SG,6900,37.32,53.0,POR,52
Dec102016,Thaddeus Young,PF,4700,20.19,49.75,IND,52
Dec102016,Kelly Oubre Jr.,SG/SF,3000,14.31,39.25,WAS,52
Dec102016,Chris Paul,PG,8800,48.77,65.25,LAC,52
Dec102016,Austin Rivers,PG,3200,15.5,30.0,LAC,52
Dec102016,LeBron James,SF/PF,9400,52.55,79.75,CLE,52
